case_id,happened_at,address,type,desc,lat,long
201500029856-2,05/19/2015 23:06:00,S AUBURN Ave & W BROADWAY,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.723328,-108.210327
201500029846-3,05/19/2015 22:00:00,1 PARQUE DE OESTE DR,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.731678,-108.247254
201500029846-1,05/19/2015 22:00:00,1 PARQUE DE OESTE DR,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.731678,-108.247254
201500029794-1,05/19/2015 18:08:00,2500 E 16TH ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.745399,-108.172989
201500029739-1,05/19/2015 14:48:00,1400 E 23RD ST,Theft,LARCENY $250 TO $500=M-BICYCLES,36.751083,-108.189575
201500029721-1,05/19/2015 14:21:00,1600 CLIFFSIDE DR,Theft,LARCENY,36.752885,-108.186583
201500029736-4,05/19/2015 13:28:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029736-1,05/19/2015 13:28:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029728-1,05/19/2015 12:44:00,1000 W BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728252,-108.221171
201500029719-1,05/19/2015 12:20:00,3600 SAN MEDINA Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.759838,-108.195702
201500029715-1,05/19/2015 11:35:00,500 E BROADWAY,Drugs,DRUG EQUIPMENT VIOLATIONS,36.726534,-108.190419
201500029762-1,05/19/2015 08:00:00,400 NELSON,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.7281,-108.2187
201500029676-1,05/19/2015 04:55:00,2200 E 20TH ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.74839,-108.178391
201500029669-4,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.709072,-108.19873
201500029669-2,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.709072,-108.19873
201500029669-1,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG/NARCOTIC VIOLATION,36.709072,-108.19873
201500029667-1,05/18/2015 23:03:00,300 VALLE VISTA,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.730729,-108.243371
201500029652-1,05/18/2015 20:39:00,2500 E 16TH ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.745399,-108.172989
201500029634-1,05/18/2015 19:15:00,1400 W MAIN ST,Theft,EMBEZZLEMENT,36.732299,-108.226989
201500029609-1,05/18/2015 17:45:00,1900 N DUSTIN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.755793,-108.201931
201500029605-1,05/18/2015 17:32:00,4600 E MAIN ST,Theft,EMBEZZLEMENT,36.764916,-108.152615
201500029543-1,05/18/2015 16:04:00,2200 HUNTZINGER Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.749711,-108.176297
201500029593-2,05/18/2015 14:50:00,3500 E 30TH ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.759077,-108.165793
201500029593-1,05/18/2015 14:50:00,3500 E 30TH ST,Theft,LARCENY,36.759077,-108.165793
201500029532-1,05/18/2015 13:02:00,5700 COLLEGE,Drugs,DRUG/NARCOTIC VIOLATION,36.7281,-108.2187
201500029443-3,05/17/2015 23:37:00,300 E 28TH ST,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.754793,-108.201999
201500029443-2,05/17/2015 23:37:00,300 E 28TH ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.754793,-108.201999
201500029443-1,05/17/2015 23:37:00,300 E 28TH ST,Breaking & Entering,BREAKING & ENTERING,36.754793,-108.201999
201500029438-2,05/17/2015 23:06:00,1100 W APACHE ST,Disorder,DISORDERLY CONDUCT,36.733871,-108.224784
201500029438-1,05/17/2015 23:06:00,1100 W APACHE ST,Assault,ASSAULT B,36.733871,-108.224784
201500029431-1,05/17/2015 22:31:00,2200 N TUCKER Ave,Disorder,DISORDERLY CONDUCT,36.750381,-108.17778
201500029394-1,05/17/2015 19:55:00,N DUSTIN Ave & E 18TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.747183,-108.189724
201500029407-1,05/17/2015 19:31:00,1400 W MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.732299,-108.226989
201540000017251,05/17/2015 15:47:41,5400 W MAIN ST,Drugs,Narcotics Violation,36.740482,-108.281197
201500029366-1,05/17/2015 15:28:00,2300 SOUTHSIDE RIVER,Breaking & Entering,BURG-RESIDENCE-FORCIBLE-UNKNOWN,36.72654,-108.180099
201500029347-1,05/17/2015 14:57:00,400 N ALLEN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.733342,-108.206844
201500029326-1,05/17/2015 12:30:00,1400 CHERRY LN,Theft of Vehicle,MOTOR VEHICLE THEFT,36.743971,-108.183151
201500029310-1,05/17/2015 11:00:00,300 E HOPI ST,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.736263,-108.202397
201500029305-1,05/17/2015 09:17:00,1100 N MONTEREY Ave,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.7412,-108.200306
201500029292-1,05/17/2015 06:40:00,1100 RANDOLPH Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.719429,-108.201445
201540000017205,05/17/2015 03:12:58,1600 N FAIRVIEW 35,Assault,Battery Report,36.745464,-108.175279
201500029283-1,05/17/2015 02:52:00,4100 E MAIN ST,Theft,SHOPLIFTING (MISD),36.757596,-108.15629
201500029278-7,05/17/2015 01:45:00,WALNUT DR & AIRPORT DR,Drugs,DRUG/NARCOTIC VIOLATIONS,36.743273,-108.215723
201500029265-2,05/17/2015 00:30:00,500 E BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.726534,-108.190419
201500029265-1,05/17/2015 00:30:00,500 E BROADWAY,Theft,SHOPLIFTING (MISD),36.726534,-108.190419
201500029222-1,05/16/2015 19:58:00,900 E MAIN ST,Theft,SHOPLIFTING (MISD),36.73323,-108.19297
201500029219-1,05/16/2015 19:49:00,800 W MAPLE,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.724709,-108.216881
201500029204-1,05/16/2015 19:29:00,3200 CRESCENT Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.757782,-108.20237
201500029214-3,05/16/2015 19:22:00,1400 W MAIN ST,Liquor,LIQUOR LAW VIOLATIONS,36.732299,-108.226989
201500029214-2,05/16/2015 19:22:00,1400 W MAIN ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.732299,-108.226989
201500029200-3,05/16/2015 18:20:00,100 W ELM,Drugs,DRUG EQUIPMENT VIOLATIONS,36.725531,-108.205566
201500029200-1,05/16/2015 18:20:00,100 W ELM,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029200-2,05/16/2015 18:20:00,100 W ELM,Drugs,DRUG/NARCOTIC VIOLATIONS,36.725531,-108.205566
201500029304-1,05/16/2015 16:00:00,3500 E MAIN ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.74926,-108.160358
201500029149-1,05/16/2015 13:01:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500029139-1,05/16/2015 12:05:00,3500 E MAIN ST,Theft,LARCENY,36.74926,-108.160358
201500029117-1,05/16/2015 08:56:00,300 N BUTLER Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.732672,-108.197936
201500029103-3,05/16/2015 06:04:00,600 E BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728698,-108.193176
201500029097-2,05/16/2015 02:12:00,600 E BROADWAY,Drugs,DRUG EQUIPMENT VIOLATIONS,36.728698,-108.193176
201500029238-1,05/16/2015 00:30:00,600 E BROADWAY,Assault,ASSAULT B,36.728698,-108.193176
201500028877-1,05/15/2015 23:30:00,2600 SOUTHSIDE RIVER,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.7281,-108.2187
201500029060-1,05/15/2015 21:16:00,1600 E 27TH ST,Breaking & Entering,BURG-RESIDENCE-UNLAWFUL-NIGHT,36.75417,-108.186411
201500029042-1,05/15/2015 19:29:00,LOCKE & ARRINGTON,Liquor,LIQUOR LAW VIOLATIONS,36.730312,-108.204018
201500029036-1,05/15/2015 18:43:00,1600 CLIFFSIDE DR,Disorder,DISORDERLY CONDUCT,36.752885,-108.186583
201500029034-2,05/15/2015 18:30:00,SYCAMORE ST & S CARLTON Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.721535,-108.189575
201540000017037,05/15/2015 17:04:41,800 ANDREA DR,Drugs,Narcotics Violation,36.725315,-108.135048
201500029017-1,05/15/2015 16:50:00,1100 W APACHE,Theft,EMBEZZLEMENT,36.733871,-108.224784
201540000017036,05/15/2015 16:35:31,1 RD 3937,Disorder,Unwanted Subject,36.734333,-108.134796
201500028994-1,05/15/2015 14:57:00,100 W BROADWAY ST,Theft from Vehicle,LARCENY 100 TO 250-FROM MOTOR VEHICLE,36.728264,-108.20575
201540000017011,05/15/2015 13:06:12,800 ANDREA DR,Property Crime,Recovered Property,36.725315,-108.135048
201500028942-1,05/15/2015 12:49:00,4400 COLLEGE,Theft,LARCENY - UNDER $50,36.7281,-108.2187
201500028934-1,05/15/2015 11:40:00,300 AIRPORT DR,Robbery,ROBBERY-STRONG ARM-MISCELLANEOUS(HANDS/FISTS/FEET,36.732147,-108.220364
201500028917-3,05/15/2015 09:45:00,500 W MAIN ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.729324,-108.211075
201500028917-2,05/15/2015 09:45:00,500 W MAIN ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.729324,-108.211075
201540000016977,05/15/2015 09:19:11,800 ANDREA DR,Assault,Assault Report only,36.725315,-108.135048
201500028898-1,05/15/2015 04:43:00,1400 TORY Ave,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.715116,-108.19729
201500028865-3,05/14/2015 22:22:00,1500 S HINES RD,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.716854,-108.171637
201500028865-1,05/14/2015 22:22:00,1500 S HINES RD,Theft,STOLEN PROPERTY OFFENSES (FELONY),36.716854,-108.171637
201500028829-1,05/14/2015 20:28:00,600 E MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.730666,-108.197483
201500028830-2,05/14/2015 20:00:00,WILLOW Ave & YORK,Drugs,DRUG EQUIPMENT VIOLATIONS,38.000468,-121.769483
201500028831-1,05/14/2015 19:00:00,3100 BLOOMFIELD HY,Theft,LARCENY,36.719666,-108.171219
201540000016896,05/14/2015 16:28:33,1 RD 5050,Disorder,Unwanted Subject,34.582832,-88.498036
201500028795-1,05/14/2015 16:26:00,300 W UTE ST,Theft,LARCENY,36.741228,-108.207277
201500028713-1,05/14/2015 11:33:00,E MAIN ST & COURT,Drugs,DRUG EQUIPMENT VIOLATIONS,36.738628,-108.179073
201500028679-2,05/14/2015 08:07:00,5700 E MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (FELONY),36.772148,-108.137947
201500028679-3,05/14/2015 08:07:00,5700 E MAIN ST,Theft from Vehicle,LARCENY,36.772148,-108.137947
201500028679-1,05/14/2015 08:07:00,5700 E MAIN ST,Theft from Vehicle,LARCENY $500 TO $2500=4F-FROM MOTORVEHICLE,36.772148,-108.137947
201500028670-1,05/14/2015 05:30:00,300 W UTE ST,Theft from Vehicle,LARCENY $500 TO $2500=4F-FROM MOTORVEHICLE,36.741228,-108.207277
201500028646-3,05/14/2015 02:00:00,HUTTON & SOUTH RIVER ROAD RD,Drugs,DRUG/NARCOTIC VIOLATION,42.591742,-82.865354
201500028684-1,05/14/2015 02:00:00,900 N AUBURN Ave,Theft of Vehicle,MOTOR VEHICLE THEFT,36.738435,-108.209883
201500028626-2,05/13/2015 21:10:00,E 20TH ST & E MAIN ST ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.738628,-108.179073
201500028626-4,05/13/2015 21:10:00,E 20TH ST & E MAIN ST ST,Drugs,DRUG/NARCOTIC VIOLATION,36.738628,-108.179073
201500028626-1,05/13/2015 21:10:00,E 20TH ST & E MAIN ST ST,Drugs,DRUG/NARCOTIC VIOLATION,36.738628,-108.179073
201500028608-1,05/13/2015 20:01:00,500 SCOTT Ave,Liquor,LIQUOR LAW VIOLATIONS,36.731381,-108.189151
201500028588-2,05/13/2015 19:00:00,S BUTLER Ave & SYCAMORE ST,Liquor,LIQUOR LAW VIOLATIONS,36.718277,-108.1978
201500028588-3,05/13/2015 19:00:00,S BUTLER Ave & SYCAMORE ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.718277,-108.1978
201500028572-1,05/13/2015 17:10:00,900 FARMINGTON Ave,Theft,SHOPLIFTING (MISD),36.738445,-108.179821
201500028566-2,05/13/2015 16:50:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500028531-3,05/13/2015 14:58:00,3000 E MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.744822,-108.165599
201500028531-2,05/13/2015 14:58:00,3000 E MAIN ST,Theft,SHOPLIFTING (MISD),36.744822,-108.165599
201500028531-1,05/13/2015 14:58:00,3000 E MAIN ST,Assault,ASSAULT B,36.744822,-108.165599
201500028491-1,05/13/2015 12:48:00,2500 E 20TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.74816,-108.173478
201500028480-1,05/13/2015 10:59:00,5700 N COLLEGE,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),39.857304,-86.146296
201500028464-1,05/13/2015 10:49:00,1600 N DUSTIN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.755793,-108.201931
201500028450-2,05/13/2015 09:56:00,2100 HUNTZINGER Ave,Theft,"LARCENY OVER $20,000=2F-ALL OTHER",36.748947,-108.176299
201500028450-1,05/13/2015 09:56:00,2100 HUNTZINGER Ave,Breaking & Entering,BURG-COMMERCIAL-FORCIBLE-UNKNOWN,36.748947,-108.176299
201500028438-1,05/13/2015 07:33:00,600 CERRILLOS DR,Theft from Vehicle,LARCENY 100 TO 250-FROM MOTOR VEHICLE,36.769695,-108.195824
201500028440-4,05/13/2015 07:30:00,4400 BERING ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.771875,-108.152488
201500028440-3,05/13/2015 07:30:00,4400 BERING ST,Theft from Vehicle,LARCENY,36.771875,-108.152488
201500028440-2,05/13/2015 07:30:00,4400 BERING ST,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,36.771875,-108.152488
201500028440-1,05/13/2015 07:30:00,4400 BERING ST,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.771875,-108.152488
201500028433-2,05/13/2015 06:00:00,400 E CEDAR ST,Drugs,DRUG/NARCOTIC VIOLATIONS,36.726672,-108.198544
201500028430-1,05/13/2015 01:19:00,3500 N BUTLER Ave,Theft,LARCENY $500 TO $2500=4F-ALL OTHER,36.759033,-108.194481
