case_id,happened_at,address,type,desc,lat,long
201500029739-1,05/19/2015 14:48:00,1400 E 23RD ST,Theft,LARCENY $250 TO $500=M-BICYCLES,36.751083,-108.189575
201500029721-1,05/19/2015 14:21:00,1600 CLIFFSIDE DR,Theft,LARCENY,36.752885,-108.186583
201500029736-4,05/19/2015 13:28:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029736-1,05/19/2015 13:28:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029728-1,05/19/2015 12:44:00,1000 W BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728252,-108.221171
201500029715-1,05/19/2015 11:35:00,500 E BROADWAY,Drugs,DRUG EQUIPMENT VIOLATIONS,36.726534,-108.190419
201500029762-1,05/19/2015 08:00:00,400 NELSON,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.7281,-108.2187
201500029676-1,05/19/2015 04:55:00,2200 E 20TH ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.74839,-108.178391
201500029669-2,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.709072,-108.19873
201500029669-4,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.709072,-108.19873
201500029669-1,05/18/2015 23:45:00,SAN JUAN & S BUTLER Ave,Drugs,DRUG/NARCOTIC VIOLATION,36.709072,-108.19873
201500029667-1,05/18/2015 23:03:00,300 VALLE VISTA,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.730729,-108.243371
201500029634-1,05/18/2015 19:15:00,1400 W MAIN ST,Theft,EMBEZZLEMENT,36.732299,-108.226989
201500029609-1,05/18/2015 17:45:00,1900 N DUSTIN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.755793,-108.201931
201500029543-1,05/18/2015 16:04:00,2200 HUNTZINGER Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.749711,-108.176297
201500029438-1,05/17/2015 23:06:00,1100 W APACHE ST,Assault,ASSAULT B,36.733871,-108.224784
201500029438-2,05/17/2015 23:06:00,1100 W APACHE ST,Disorder,DISORDERLY CONDUCT,36.733871,-108.224784
201500029431-1,05/17/2015 22:31:00,2200 N TUCKER Ave,Disorder,DISORDERLY CONDUCT,36.750381,-108.17778
201500029394-1,05/17/2015 19:55:00,N DUSTIN Ave & E 18TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.747183,-108.189724
201500029407-1,05/17/2015 19:31:00,1400 W MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.732299,-108.226989
201500029366-1,05/17/2015 15:28:00,2300 SOUTHSIDE RIVER,Breaking & Entering,BURG-RESIDENCE-FORCIBLE-UNKNOWN,36.72654,-108.180099
201500029347-1,05/17/2015 14:57:00,400 N ALLEN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.733342,-108.206844
201500029326-1,05/17/2015 12:30:00,1400 CHERRY LN,Theft of Vehicle,MOTOR VEHICLE THEFT,36.743971,-108.183151
201500029310-1,05/17/2015 11:00:00,300 E HOPI ST,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.736263,-108.202397
201500029305-1,05/17/2015 09:17:00,1100 N MONTEREY Ave,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.7412,-108.200306
201500029292-1,05/17/2015 06:40:00,1100 RANDOLPH Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.719429,-108.201445
201540000017205,05/17/2015 03:12:58,1600 N FAIRVIEW 35,Assault,Battery Report,36.745464,-108.175279
201500029278-7,05/17/2015 01:45:00,WALNUT DR & AIRPORT DR,Drugs,DRUG/NARCOTIC VIOLATIONS,36.743273,-108.215723
201500029265-1,05/17/2015 00:30:00,500 E BROADWAY,Theft,SHOPLIFTING (MISD),36.726534,-108.190419
201500029265-2,05/17/2015 00:30:00,500 E BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.726534,-108.190419
201500029222-1,05/16/2015 19:58:00,900 E MAIN ST,Theft,SHOPLIFTING (MISD),36.73323,-108.19297
201500029219-1,05/16/2015 19:49:00,800 W MAPLE,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.724709,-108.216881
201500029214-2,05/16/2015 19:22:00,1400 W MAIN ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.732299,-108.226989
201500029214-3,05/16/2015 19:22:00,1400 W MAIN ST,Liquor,LIQUOR LAW VIOLATIONS,36.732299,-108.226989
201500029200-3,05/16/2015 18:20:00,100 W ELM,Drugs,DRUG EQUIPMENT VIOLATIONS,36.725531,-108.205566
201500029200-2,05/16/2015 18:20:00,100 W ELM,Drugs,DRUG/NARCOTIC VIOLATIONS,36.725531,-108.205566
201500029200-1,05/16/2015 18:20:00,100 W ELM,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500029149-1,05/16/2015 13:01:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500029117-1,05/16/2015 08:56:00,300 N BUTLER Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.732672,-108.197936
201500029103-3,05/16/2015 06:04:00,600 E BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728698,-108.193176
201500029097-2,05/16/2015 02:12:00,600 E BROADWAY,Drugs,DRUG EQUIPMENT VIOLATIONS,36.728698,-108.193176
201500029238-1,05/16/2015 00:30:00,600 E BROADWAY,Assault,ASSAULT B,36.728698,-108.193176
